,0,1,2,3,4,5,6,7,8,9,10,11
0,1,0,1,0,0,1,0,1,0.0,1.0,0.0,
1,1,0,1,1,1,1,1,1,0.0,,,
2,0,0,0,1,1,0,0,1,,,,
3,0,0,1,0,0,1,0,1,1.0,,,
4,1,1,1,1,1,0,1,1,1.0,,,
5,1,1,0,1,0,0,0,0,1.0,,,
6,0,1,0,1,1,1,0,1,,,,
7,0,0,1,1,0,0,1,0,1.0,,,
8,0,1,1,0,1,0,1,1,0.0,,,
9,1,1,0,0,0,0,0,1,1.0,,,
10,0,0,1,0,0,0,0,1,0.0,,,
11,1,0,0,0,1,0,1,0,,,,
12,1,1,1,1,1,0,1,1,0.0,,,
13,1,0,0,1,1,1,0,1,,,,
14,0,1,1,1,0,1,0,0,0.0,,,
15,0,0,1,1,1,1,0,1,1.0,,,
16,1,0,0,1,1,0,1,0,0.0,,,
17,0,1,1,0,1,0,0,1,0.0,,,
18,0,1,0,1,1,1,0,1,0.0,,,
19,0,1,0,1,0,1,1,0,0.0,,,
20,1,1,1,1,1,0,1,1,0.0,,,
21,1,1,0,1,1,0,0,1,0.0,,,
22,0,0,1,1,0,0,1,1,1.0,,,
23,1,1,1,1,1,0,1,1,0.0,,,
24,0,1,0,1,0,0,1,0,0.0,,,
25,1,1,1,0,0,1,0,0,1.0,1.0,0.0,0.0
26,1,1,1,0,0,0,1,0,,,,
27,0,1,1,0,0,1,0,0,,,,
28,1,1,1,1,0,1,1,0,,,,
29,0,1,1,1,0,1,0,0,,,,
30,1,1,1,0,1,1,1,1,1.0,,,
31,0,0,0,0,0,1,1,1,0.0,,,
32,0,1,1,0,0,1,0,1,1.0,,,
33,1,1,0,0,1,1,1,1,1.0,,,
34,0,0,1,0,0,0,0,1,1.0,,,
35,1,1,1,0,0,0,1,0,1.0,,,
36,1,1,0,1,0,1,0,0,,,,
37,1,1,1,1,1,0,0,0,1.0,,,
38,1,0,0,1,1,1,1,1,,,,
39,0,0,1,1,1,0,1,0,0.0,,,
40,0,0,0,0,0,0,1,0,,,,
41,1,1,1,0,1,0,0,0,1.0,,,
42,0,0,0,0,0,0,0,0,,,,
43,0,0,0,1,1,1,1,1,0.0,,,
44,0,1,1,1,1,1,1,1,,,,
45,0,0,0,1,0,0,1,1,1.0,,,
